"['NN', 'NNP', 'NN', 'RB', 'VB', 'DT', 'NNP', 'NN', 'DT', 'NNP', 'VB', 'DT', 'IN', 'CD', 'NN', 'RB', 'IN', 'NNP', 'NNP', 'NNP', 'VB', 'IN', 'CD', 'CD', 'CC', 'CD']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'I-DATE']"
"['NN', 'NNP', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'IN', 'VB', 'NN', 'IN', 'NNP', 'CC', 'NN', 'NNP', 'NNP', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'VB']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
"['DT', 'NNP', 'NN', 'VB', 'IN', 'NN', 'NN', 'VB', 'VB', 'IN', 'NNP', 'JJ', 'NN', 'IN', 'NNP']","['O', 'B-ORG', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE']"
"['NN', 'NN', 'VB', 'IN', 'NN', 'IN', 'NN', 'VB', 'RB', 'VB', 'IN', 'JJ', 'NN', 'IN', 'NNP']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['NNP', 'NNP', 'NN', 'VB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'NN', 'VB', 'IN', 'NNP', 'NNP', 'PRP', 'VB', 'DT', 'NNP', 'NN', 'VB', 'NNP', 'NNP']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'I-ORG', 'O', 'O', 'O', 'O']"
"['IN', 'CD', 'IN', 'JJ', 'NN', 'RB', 'IN', 'DT', 'NNP', 'NN', 'VB', 'NN', 'CC', 'NN', 'DT', 'JJ', 'NN', 'VB', 'NN', 'IN', 'DT', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG']"
"['NNP', 'NNP', 'RB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'VB', 'RB', 'DT', 'JJ', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP']"
"['NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'DT', 'NN', 'PRP', 'VB', 'VB', 'IN', 'VB', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP']","['B-GPE', 'O', 'B-PER', 'I-PER', 'O', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE']"
"['DT', 'IN', 'VB', 'DT', 'CD', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'VB', 'VB', 'IN', 'DT', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['PRP', 'VB', 'IN', 'PRP', 'NN', 'IN', 'DT', 'NN', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'RB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'PRP', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
